,count,unique,top,freq,mean,min,25%,50%,75%,max,std
ch2025_wPedo_walking_step_sum,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_distance_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_distance_mean,653.0,,,,2.699843193888577,0.0,1.4239105127109126,2.5195040309480925,3.59999139427682,16.876671682611555,1.9131208795125954
ch2025_wPedo_distance_std,653.0,,,,10.060906552176416,0.0,6.8690795077253854,10.197663855052491,13.381020301750228,35.469085231419236,5.21692531024339
ch2025_wPedo_distance_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_distance_max,653.0,,,,89.19775561351689,0.0,73.22970581054688,89.046875,107.447509765625,302.240234375,40.38360519919416
ch2025_wPedo_distance_sum,653.0,,,,2954.540758154841,0.0,1564.37255859375,2793.5516357421875,4095.662657737732,12126.550430297852,2014.6584734909434
ch2025_wPedo_speed_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_speed_mean,653.0,,,,0.044997386564809616,0.0,0.02373184187851521,0.04199173384913488,0.05999985657128033,0.2812778613768593,0.03188534799187659
ch2025_wPedo_speed_std,653.0,,,,0.16768177586960692,0.0,0.1144846584620897,0.1699610642508751,0.22301700502917038,0.591151420523654,0.08694875517072316
ch2025_wPedo_speed_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_speed_max,653.0,,,,1.4866292602252815,0.0,1.220495096842448,1.4841145833333333,1.7907918294270833,5.037337239583334,0.673060086653236
ch2025_wPedo_speed_sum,653.0,,,,49.24234596924736,0.0,26.0728759765625,46.55919392903646,68.26104429562886,202.10917383829752,33.57764122484905
ch2025_wPedo_burned_calories_count,653.0,,,,1145.635528330781,55.0,966.0,1280.0,1360.0,1440.0,301.0876430495802
ch2025_wPedo_burned_calories_mean,653.0,,,,0.16132587120316205,0.0,0.07043647784052978,0.13379611649326772,0.20713773217645134,1.3340457938831938,0.1397233670688121
ch2025_wPedo_burned_calories_std,653.0,,,,1.2679517994337937,0.0,0.36108151080596135,0.5988926768512762,1.1402107935316041,11.31206528840159,1.7757324749926386
ch2025_wPedo_burned_calories_min,653.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_wPedo_burned_calories_max,653.0,,,,31.704217150231187,0.0,3.979999542236328,5.46002197265625,29.530061721801758,310.6953430175781,57.920963782080186
ch2025_wPedo_burned_calories_sum,653.0,,,,174.57613273512624,0.0,78.35048770904541,149.75955200195312,229.14513683319092,853.7582092285156,138.08724142892768
ch2025_wHr_count,636.0,,,,31434.896226415094,1.0,21025.0,33731.0,42172.0,79843.0,15976.50033298912
ch2025_wHr_mean,636.0,,,,88.2926617631657,32.5,82.63620674637016,87.59150898976543,93.92809181593127,177.33333333333334,10.570672767245787
ch2025_wHr_std,631.0,,,,13.300245806604522,0.596943992473145,10.52814274145597,12.601256917878443,15.153484929606943,97.94045810252949,5.757300710990788
ch2025_wHr_min,636.0,,,,51.187106918238996,1.0,43.0,53.0,59.0,156.0,15.034591834063768
ch2025_wHr_max,636.0,,,,143.4308176100629,63.0,131.0,140.0,153.0,254.0,21.67999026552222
ch2025_mGps_gps_points_count,660.0,,,,1213.0469696969697,1.0,1039.25,1387.0,1438.0,1440.0,311.12737279136945
ch2025_mGps_gps_points_mean,660.0,,,,10.620539034455257,1.5,9.104051055037019,10.955707796774306,11.360235352673493,16.13673805601318,2.077261671910838
ch2025_mGps_gps_points_std,659.0,,,,2.307012667027533,0.550644632094145,1.5981447785252114,2.42199675715994,2.9226350632461937,6.363961030678928,0.8485582524509564
ch2025_mGps_gps_points_max,660.0,,,,18.76969696969697,2.0,19.0,20.0,20.0,20.0,2.2963300995812213
ch2025_mGps_gps_points_sum,660.0,,,,12949.896969696969,2.0,10146.75,13117.0,15839.25,22720.0,4180.946149207194
ch2025_mGps_gps_speed_mean_count,660.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch2025_mGps_gps_speed_mean_mean,0.0,,,,,,,,,,
ch2025_mGps_gps_speed_mean_std,0.0,,,,,,,,,,
ch2025_mGps_gps_speed_mean_max,0.0,,,,,,,,,,
ch2025_mGps_gps_speed_mean_sum,660.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
